key,level
KHM20,gadm1
KHM21,gadm1
KHM22,gadm1
KHM23,gadm1
KHM24,gadm1
KHM25,gadm1
CMR1,gadm1
CMR2,gadm1
CMR3,gadm1
CMR4,gadm1
CMR5,gadm1
CMR6,gadm1
CMR7,gadm1
CMR8,gadm1
CMR9,gadm1
CMR10,gadm1
CAF1,gadm1
CAF2,gadm1
CAF3,gadm1
CAF4,gadm1
CAF5,gadm1
CAF6,gadm1
CAF7,gadm1
CAF8,gadm1
CAF9,gadm1
CAF10,gadm1
CAF11,gadm1
CAF12,gadm1
CAF13,gadm1
CAF14,gadm1
CAF15,gadm1
CAF16,gadm1
CAF17,gadm1
TCD1,gadm1
TCD2,gadm1
TCD3,gadm1
TCD4,gadm1
TCD5,gadm1
TCD6,gadm1
TCD7,gadm1
TCD8,gadm1
TCD9,gadm1
TCD10,gadm1
TCD11,gadm1
TCD12,gadm1
TCD13,gadm1
TCD14,gadm1
TCD15,gadm1
TCD16,gadm1
TCD17,gadm1
TCD18,gadm1
TCD19,gadm1
TCD20,gadm1
TCD21,gadm1
TCD22,gadm1
TCD23,gadm1
CHL1,gadm1
CHL2,gadm1
CHL3,gadm1
CHL4,gadm1
CHL5,gadm1
CHL6,gadm1
CHL7,gadm1
CHL8,gadm1
CHL9,gadm1
CHL10,gadm1
CHL11,gadm1
CHL12,gadm1
CHL13,gadm1
CHL14,gadm1
CHL15,gadm1
COL1,gadm1
COL2,gadm1
COL3,gadm1
COL4,gadm1
COL5,gadm1
COL6,gadm1
COL7,gadm1
COL8,gadm1
COL9,gadm1
COL10,gadm1
COL11,gadm1
COL12,gadm1
COL13,gadm1
COL14,gadm1
COL15,gadm1
COL16,gadm1
COL17,gadm1
COL18,gadm1
COL19,gadm1
COL20,gadm1
COL21,gadm1
COL22,gadm1
COL23,gadm1
COL24,gadm1
COL25,gadm1
COL26,gadm1
COL27,gadm1
COL28,gadm1
COL29,gadm1
COL30,gadm1
COL31,gadm1
COL32,gadm1
CRI1,gadm1
CRI2,gadm1
CRI3,gadm1
CRI4,gadm1
CRI5,gadm1
CRI6,gadm1
CRI7,gadm1
CIV1,gadm1
CIV2,gadm1
CIV3,gadm1
CIV4,gadm1
CIV5,gadm1
CIV6,gadm1
CIV7,gadm1
CIV8,gadm1
CIV9,gadm1
CIV10,gadm1
CIV11,gadm1
CIV12,gadm1
CIV13,gadm1
CIV14,gadm1
COD1,gadm1
COD2,gadm1
COD3,gadm1
COD4,gadm1
COD5,gadm1
COD6,gadm1
COD7,gadm1
COD8,gadm1
COD9,gadm1
DOM1,gadm1
DOM2,gadm1
DOM3,gadm1
DOM4,gadm1
DOM5,gadm1
DOM6,gadm1
DOM7,gadm1
DOM8,gadm1
DOM9,gadm1
DOM10,gadm1
DOM11,gadm1
DOM12,gadm1
DOM13,gadm1
DOM14,gadm1
DOM15,gadm1
DOM16,gadm1
DOM17,gadm1
DOM18,gadm1
DOM19,gadm1
DOM20,gadm1
DOM21,gadm1
DOM22,gadm1
DOM23,gadm1
DOM24,gadm1
DOM25,gadm1
DOM26,gadm1
DOM27,gadm1
DOM28,gadm1
DOM29,gadm1
DOM30,gadm1
DOM31,gadm1
DOM32,gadm1
ECU1,gadm1
ECU2,gadm1
ECU3,gadm1
ECU4,gadm1
ECU5,gadm1
ECU6,gadm1
ECU7,gadm1
ECU8,gadm1
ECU9,gadm1
ECU10,gadm1
ECU11,gadm1
ECU12,gadm1
ECU13,gadm1
ECU14,gadm1
ECU15,gadm1
ECU16,gadm1
ECU17,gadm1
ECU18,gadm1
ECU19,gadm1
ECU20,gadm1
ECU21,gadm1
ECU22,gadm1
ECU23,gadm1
ECU24,gadm1
EGY1,gadm1
EGY2,gadm1
EGY3,gadm1
EGY4,gadm1
EGY5,gadm1
EGY6,gadm1
EGY7,gadm1
EGY8,gadm1
EGY9,gadm1
EGY10,gadm1
EGY11,gadm1
EGY12,gadm1
EGY13,gadm1
EGY14,gadm1
EGY15,gadm1
EGY16,gadm1
EGY17,gadm1
EGY18,gadm1
EGY19,gadm1
EGY20,gadm1
EGY21,gadm1
EGY22,gadm1
EGY23,gadm1
EGY24,gadm1
EGY25,gadm1
EGY26,gadm1
EGY27,gadm1
SLV1,gadm1
SLV2,gadm1
SLV3,gadm1
SLV4,gadm1
SLV5,gadm1
SLV6,gadm1
SLV7,gadm1
SLV8,gadm1
SLV9,gadm1
SLV10,gadm1
SLV11,gadm1
SLV12,gadm1
SLV13,gadm1
SLV14,gadm1
GNQ2,gadm1
GNQ3,gadm1
GNQ4,gadm1
GNQ5,gadm1
GNQ6,gadm1
GNQ7,gadm1
ERI1,gadm1
ERI2,gadm1
ERI3,gadm1
ERI4,gadm1
ERI5,gadm1
ERI6,gadm1
ETH1,gadm1
ETH2,gadm1
ETH3,gadm1
ETH4,gadm1
ETH5,gadm1
ETH6,gadm1
ETH7,gadm1
ETH8,gadm1
ETH9,gadm1
ETH10,gadm1
ETH11,gadm1
GAB1,gadm1
GAB2,gadm1
GAB3,gadm1
GAB4,gadm1
GAB5,gadm1
GAB6,gadm1
GAB7,gadm1
GAB8,gadm1
GAB9,gadm1
GMB1,gadm1
GMB2,gadm1
GMB3,gadm1
GMB4,gadm1
GMB5,gadm1
GMB6,gadm1
GEO1,gadm1
GEO2,gadm1
GEO3,gadm1
GEO4,gadm1
GEO5,gadm1
GEO6,gadm1
GEO7,gadm1
GEO8,gadm1
GEO9,gadm1
GEO10,gadm1
GEO11,gadm1
GEO12,gadm1
GHA1,gadm1
GHA2,gadm1
GHA3,gadm1
GHA4,gadm1
GHA5,gadm1
GHA6,gadm1
GHA7,gadm1
GHA8,gadm1
GHA9,gadm1
GHA10,gadm1
GTM1,gadm1
GTM2,gadm1
GTM3,gadm1
GTM4,gadm1
GTM5,gadm1
GTM6,gadm1
GTM7,gadm1
GTM8,gadm1
GTM9,gadm1
GTM10,gadm1
GTM11,gadm1
GTM12,gadm1
GTM13,gadm1
GTM14,gadm1
GTM15,gadm1
GTM16,gadm1
GTM17,gadm1
GTM18,gadm1
GTM19,gadm1
GTM20,gadm1
GTM21,gadm1
GTM22,gadm1
GNB1,gadm1
GNB2,gadm1
GNB3,gadm1
GNB4,gadm1
GNB5,gadm1
GNB6,gadm1
GNB7,gadm1
GNB8,gadm1
GNB9,gadm1
GIN1,gadm1
GIN2,gadm1
GIN3,gadm1
GIN4,gadm1
GIN5,gadm1
GIN6,gadm1
GIN7,gadm1
GIN8,gadm1
HTI1,gadm1
HTI2,gadm1
HTI3,gadm1
HTI4,gadm1
HTI5,gadm1
HTI6,gadm1
HTI7,gadm1
HTI8,gadm1
HTI9,gadm1
HTI10,gadm1
HND1,gadm1
HND2,gadm1
HND3,gadm1
HND4,gadm1
HND5,gadm1
HND6,gadm1
HND7,gadm1
HND8,gadm1
HND9,gadm1
HND10,gadm1
HND11,gadm1
HND12,gadm1
HND13,gadm1
HND14,gadm1
HND15,gadm1
HND16,gadm1
HND17,gadm1
HND18,gadm1
HKG1,gadm1
HKG2,gadm1
HKG3,gadm1
HKG4,gadm1
HKG5,gadm1
HKG6,gadm1
HKG7,gadm1
HKG8,gadm1
HKG9,gadm1
HKG10,gadm1
HKG11,gadm1
HKG12,gadm1
HKG13,gadm1
HKG14,gadm1
HKG15,gadm1
HKG16,gadm1
HKG17,gadm1
HKG18,gadm1
IDN1,gadm1
IDN2,gadm1
IDN3,gadm1
IDN4,gadm1
IDN5,gadm1
IDN6,gadm1
IDN7,gadm1
IDN8,gadm1
IDN9,gadm1
IDN10,gadm1
IDN11,gadm1
IDN12,gadm1
IDN13,gadm1
IDN14,gadm1
IDN15,gadm1
IDN16,gadm1
IDN17,gadm1
IDN18,gadm1
IDN19,gadm1
IDN20,gadm1
IDN21,gadm1
IDN22,gadm1
IDN23,gadm1
IDN24,gadm1
IDN25,gadm1
IDN26,gadm1
IDN27,gadm1
IDN28,gadm1
IDN29,gadm1
IDN30,gadm1
IDN31,gadm1
IDN32,gadm1
IDN33,gadm1
IDN34,gadm1
JAM1,gadm1
JAM2,gadm1
JAM3,gadm1
JAM4,gadm1
JAM5,gadm1
JAM6,gadm1
JAM7,gadm1
JAM8,gadm1
JAM9,gadm1
JAM10,gadm1
JAM11,gadm1
JAM12,gadm1
JAM13,gadm1
JAM14,gadm1
JPN1,gadm1
JPN2,gadm1
JPN3,gadm1
JPN4,gadm1
JPN5,gadm1
JPN6,gadm1
JPN7,gadm1
JPN8,gadm1
JPN9,gadm1
JPN10,gadm1
JPN11,gadm1
JPN12,gadm1
JPN13,gadm1
JPN14,gadm1
JPN15,gadm1
JPN16,gadm1
JPN17,gadm1
JPN18,gadm1
JPN19,gadm1
JPN20,gadm1
JPN21,gadm1
JPN22,gadm1
JPN23,gadm1
JPN24,gadm1
JPN25,gadm1
JPN26,gadm1
JPN27,gadm1
JPN28,gadm1
JPN29,gadm1
JPN30,gadm1
JPN31,gadm1
JPN32,gadm1
JPN33,gadm1
JPN34,gadm1
JPN35,gadm1
JPN36,gadm1
JPN37,gadm1
JPN38,gadm1
JPN39,gadm1
JPN40,gadm1
JPN41,gadm1
JPN42,gadm1
JPN43,gadm1
JPN44,gadm1
JPN45,gadm1
JPN46,gadm1
JPN47,gadm1
JOR1,gadm1
JOR2,gadm1
JOR3,gadm1
JOR4,gadm1
JOR5,gadm1
JOR6,gadm1
JOR7,gadm1
JOR8,gadm1
JOR9,gadm1
JOR10,gadm1
JOR11,gadm1
JOR12,gadm1
KAZ1,gadm1
KAZ2,gadm1
KAZ3,gadm1
KAZ4,gadm1
KAZ5,gadm1
KAZ6,gadm1
KAZ7,gadm1
KAZ8,gadm1
KAZ9,gadm1
KAZ10,gadm1
KAZ11,gadm1
KAZ12,gadm1
KAZ13,gadm1
KAZ14,gadm1
KEN1,gadm1
KEN2,gadm1
KEN3,gadm1
KEN4,gadm1
KEN5,gadm1
KEN6,gadm1
KEN7,gadm1
KEN8,gadm1
KEN9,gadm1
KEN10,gadm1
KEN11,gadm1
KEN12,gadm1
KEN13,gadm1
KEN14,gadm1
KEN15,gadm1
KEN16,gadm1
KEN17,gadm1
KEN18,gadm1
KEN19,gadm1
KEN20,gadm1
KEN21,gadm1
KEN22,gadm1
KEN23,gadm1
KEN24,gadm1
KEN25,gadm1
KEN26,gadm1
KEN27,gadm1
KEN28,gadm1
KEN29,gadm1
KEN30,gadm1
KEN31,gadm1
KEN32,gadm1
KEN33,gadm1
KEN34,gadm1
KEN35,gadm1
KEN36,gadm1
KEN37,gadm1
KEN38,gadm1
KEN39,gadm1
KEN40,gadm1
KEN41,gadm1
KEN42,gadm1
KEN43,gadm1
KEN44,gadm1
KEN45,gadm1
KEN46,gadm1
KEN47,gadm1
XKO1,gadm1
XKO2,gadm1
XKO3,gadm1
XKO4,gadm1
XKO5,gadm1
XKO6,gadm1
XKO7,gadm1
KWT1,gadm1
KWT2,gadm1
KWT3,gadm1
KWT4,gadm1
KWT5,gadm1
KWT6,gadm1
KGZ1,gadm1
KGZ2,gadm1
KGZ3,gadm1
KGZ4,gadm1
KGZ5,gadm1
KGZ6,gadm1
KGZ7,gadm1
KGZ8,gadm1
KGZ9,gadm1
LAO1,gadm1
LAO2,gadm1
LAO3,gadm1
LAO4,gadm1
LAO5,gadm1
LAO6,gadm1
LAO7,gadm1
LAO8,gadm1
LAO9,gadm1
LAO10,gadm1
LAO11,gadm1
LAO12,gadm1
LAO13,gadm1
LAO14,gadm1
LAO15,gadm1
LAO16,gadm1
LAO17,gadm1
LAO18,gadm1
LBN1,gadm1
LBN2,gadm1
LBN3,gadm1
LBN4,gadm1
LBN5,gadm1
LBN6,gadm1
LBN7,gadm1
LBN8,gadm1
LSO1,gadm1
LSO2,gadm1
LSO3,gadm1
LSO4,gadm1
LSO5,gadm1
LSO6,gadm1
LSO7,gadm1
LSO8,gadm1
LSO9,gadm1
LSO10,gadm1
LBR1,gadm1
LBR2,gadm1
LBR3,gadm1
LBR4,gadm1
LBR5,gadm1
LBR6,gadm1
LBR7,gadm1
LBR8,gadm1
LBR9,gadm1
LBR10,gadm1
LBR11,gadm1
LBR12,gadm1
LBR13,gadm1
LBR14,gadm1
LBR15,gadm1
LBY1,gadm1
LBY2,gadm1
LBY3,gadm1
LBY4,gadm1
LBY5,gadm1
LBY6,gadm1
LBY7,gadm1
LBY8,gadm1
LBY9,gadm1
LBY10,gadm1
LBY11,gadm1
LBY12,gadm1
LBY13,gadm1
LBY14,gadm1
LBY15,gadm1
LBY16,gadm1
LBY17,gadm1
LBY18,gadm1
LBY19,gadm1
LBY20,gadm1
LBY21,gadm1
LBY22,gadm1
MDG1,gadm1
MDG2,gadm1
MDG3,gadm1
MDG4,gadm1
MDG5,gadm1
MDG6,gadm1
MWI1,gadm1
MWI2,gadm1
MWI3,gadm1
MWI4,gadm1
MWI5,gadm1
MWI6,gadm1
MWI7,gadm1
MWI8,gadm1
MWI9,gadm1
MWI10,gadm1
MWI11,gadm1
MWI12,gadm1
MWI13,gadm1
MWI14,gadm1
MWI15,gadm1
MWI16,gadm1
MWI17,gadm1
MWI18,gadm1
MWI19,gadm1
MWI20,gadm1
MWI21,gadm1
MWI22,gadm1
MWI23,gadm1
MWI24,gadm1
MWI25,gadm1
MWI26,gadm1
MWI27,gadm1
MWI28,gadm1
MYS1,gadm1
MYS2,gadm1
MYS3,gadm1
MYS4,gadm1
MYS5,gadm1
MYS6,gadm1
MYS7,gadm1
MYS8,gadm1
MYS9,gadm1
MYS10,gadm1
MYS11,gadm1
MYS12,gadm1
MYS13,gadm1
MYS14,gadm1
MYS15,gadm1
MYS16,gadm1
MLI1,gadm1
MLI2,gadm1
MLI3,gadm1
MLI4,gadm1
MLI5,gadm1
MLI6,gadm1
MLI7,gadm1
MLI8,gadm1
MLI9,gadm1
MRT1,gadm1
MRT2,gadm1
MRT3,gadm1
MRT4,gadm1
MRT5,gadm1
MRT6,gadm1
MRT7,gadm1
MRT8,gadm1
MRT9,gadm1
MRT10,gadm1
MRT11,gadm1
MRT12,gadm1
MRT13,gadm1
MUS2,gadm1
MUS3,gadm1
MUS4,gadm1
MUS5,gadm1
MUS6,gadm1
MUS7,gadm1
MUS8,gadm1
MUS9,gadm1
MUS10,gadm1
MUS12,gadm1
MEX1,gadm1
MEX2,gadm1
MEX3,gadm1
MEX4,gadm1
MEX5,gadm1
MEX6,gadm1
MEX7,gadm1
MEX8,gadm1
MEX9,gadm1
MEX10,gadm1
MEX11,gadm1
MEX12,gadm1
MEX13,gadm1
MEX14,gadm1
MEX15,gadm1
MEX16,gadm1
MEX17,gadm1
MEX18,gadm1
MEX19,gadm1
MEX20,gadm1
MEX21,gadm1
MEX22,gadm1
MEX23,gadm1
MEX24,gadm1
MEX25,gadm1
MEX26,gadm1
MEX27,gadm1
MEX28,gadm1
MEX29,gadm1
MEX30,gadm1
MEX31,gadm1
MEX32,gadm1
MDA1,gadm1
MDA2,gadm1
MDA3,gadm1
MDA4,gadm1
MDA5,gadm1
MDA6,gadm1
MDA7,gadm1
MDA8,gadm1
MDA9,gadm1
MDA10,gadm1
MDA11,gadm1
MDA12,gadm1
MDA13,gadm1
MDA14,gadm1
MDA15,gadm1
MDA16,gadm1
MDA17,gadm1
MDA18,gadm1
MDA19,gadm1
MDA20,gadm1
MDA21,gadm1
MDA22,gadm1
MDA23,gadm1
MDA24,gadm1
MDA25,gadm1
MDA26,gadm1
MDA27,gadm1
MDA28,gadm1
MDA29,gadm1
MDA30,gadm1
MDA31,gadm1
MDA32,gadm1
MDA33,gadm1
MDA34,gadm1
MDA35,gadm1
MDA36,gadm1
MDA37,gadm1
MNG1,gadm1
MNG2,gadm1
MNG3,gadm1
MNG4,gadm1
MNG5,gadm1
MNG6,gadm1
MNG7,gadm1
MNG8,gadm1
MNG9,gadm1
MNG10,gadm1
MNG11,gadm1
MNG12,gadm1
MNG13,gadm1
MNG14,gadm1
MNG15,gadm1
MNG16,gadm1
MNG17,gadm1
MNG18,gadm1
MNG19,gadm1
MNG20,gadm1
MNG21,gadm1
MNG22,gadm1
MAR1,gadm1
MAR2,gadm1
MAR3,gadm1
MAR4,gadm1
MAR5,gadm1
MAR6,gadm1
MAR7,gadm1
MAR8,gadm1
MAR9,gadm1
MAR10,gadm1
MAR11,gadm1
MAR12,gadm1
MAR13,gadm1
MAR14,gadm1
MAR15,gadm1
MOZ1,gadm1
MOZ2,gadm1
MOZ3,gadm1
MOZ4,gadm1
MOZ5,gadm1
MOZ6,gadm1
MOZ7,gadm1
MOZ8,gadm1
MOZ9,gadm1
MOZ10,gadm1
MOZ11,gadm1
MMR1,gadm1
MMR2,gadm1
MMR3,gadm1
MMR4,gadm1
MMR5,gadm1
MMR6,gadm1
MMR7,gadm1
MMR8,gadm1
MMR9,gadm1
MMR10,gadm1
MMR11,gadm1
MMR12,gadm1
MMR13,gadm1
MMR14,gadm1
MMR15,gadm1
NAM1,gadm1
NAM2,gadm1
NAM3,gadm1
NAM4,gadm1
NAM5,gadm1
NAM6,gadm1
NAM7,gadm1
NAM8,gadm1
NAM9,gadm1
NAM10,gadm1
NAM11,gadm1
NAM12,gadm1
NAM13,gadm1
NZL1,gadm1
NZL2,gadm1
NZL3,gadm1
NZL4,gadm1
NZL5,gadm1
NZL6,gadm1
NZL7,gadm1
NZL8,gadm1
NZL9,gadm1
NZL10,gadm1
NZL11,gadm1
NZL12,gadm1
NZL13,gadm1
NZL14,gadm1
NZL15,gadm1
NZL16,gadm1
NIC1,gadm1
NIC2,gadm1
NIC3,gadm1
NIC4,gadm1
NIC5,gadm1
NIC6,gadm1
NIC7,gadm1
NIC8,gadm1
NIC9,gadm1
NIC10,gadm1
NIC11,gadm1
NIC12,gadm1
NIC13,gadm1
NIC14,gadm1
NIC15,gadm1
NIC16,gadm1
NIC17,gadm1
NIC18,gadm1
NER1,gadm1
NER2,gadm1
NER3,gadm1
NER4,gadm1
NER5,gadm1
NER6,gadm1
NER7,gadm1
NER8,gadm1
NGA1,gadm1
NGA2,gadm1
NGA3,gadm1
NGA4,gadm1
NGA5,gadm1
NGA6,gadm1
NGA7,gadm1
NGA8,gadm1
NGA9,gadm1
NGA10,gadm1
NGA11,gadm1
NGA12,gadm1
NGA13,gadm1
NGA14,gadm1
NGA15,gadm1
NGA16,gadm1
NGA17,gadm1
NGA18,gadm1
NGA19,gadm1
NGA20,gadm1
NGA21,gadm1
NGA22,gadm1
NGA23,gadm1
NGA24,gadm1
NGA25,gadm1
NGA26,gadm1
NGA27,gadm1
NGA28,gadm1
NGA29,gadm1
NGA30,gadm1
NGA31,gadm1
NGA32,gadm1
NGA33,gadm1
NGA34,gadm1
NGA35,gadm1
NGA36,gadm1
NGA37,gadm1
OMN1,gadm1
OMN2,gadm1
OMN3,gadm1
OMN4,gadm1
OMN5,gadm1
OMN6,gadm1
OMN7,gadm1
OMN8,gadm1
OMN9,gadm1
OMN10,gadm1
OMN11,gadm1
PAN1,gadm1
PAN2,gadm1
PAN3,gadm1
PAN4,gadm1
PAN5,gadm1
PAN6,gadm1
PAN7,gadm1
PAN8,gadm1
PAN9,gadm1
PAN10,gadm1
PAN11,gadm1
PAN12,gadm1
PAN13,gadm1
PNG1,gadm1
PNG2,gadm1
PNG3,gadm1
PNG4,gadm1
PNG5,gadm1
PNG6,gadm1
PNG7,gadm1
PNG8,gadm1
PNG9,gadm1
PNG10,gadm1
PNG11,gadm1
PNG12,gadm1
PNG13,gadm1
PNG14,gadm1
PNG15,gadm1
PNG16,gadm1
PNG17,gadm1
PNG18,gadm1
PNG19,gadm1
PNG20,gadm1
PNG21,gadm1
PNG22,gadm1
PRY1,gadm1
PRY2,gadm1
PRY3,gadm1
PRY4,gadm1
PRY5,gadm1
PRY6,gadm1
PRY7,gadm1
PRY8,gadm1
PRY9,gadm1
PRY10,gadm1
PRY11,gadm1
PRY12,gadm1
PRY13,gadm1
PRY14,gadm1
PRY15,gadm1
PRY16,gadm1
PRY17,gadm1
PRY18,gadm1
PER1,gadm1
PER2,gadm1
PER3,gadm1
PER4,gadm1
PER5,gadm1
PER6,gadm1
PER7,gadm1
PER8,gadm1
PER9,gadm1
PER10,gadm1
PER11,gadm1
PER12,gadm1
PER13,gadm1
PER14,gadm1
PER15,gadm1
PER16,gadm1
PER17,gadm1
PER18,gadm1
PER19,gadm1
PER20,gadm1
PER21,gadm1
PER22,gadm1
PER23,gadm1
PER24,gadm1
PER25,gadm1
PER26,gadm1
PHL1,gadm1
PHL2,gadm1
PHL3,gadm1
PHL4,gadm1
PHL5,gadm1
PHL6,gadm1
PHL7,gadm1
PHL8,gadm1
PHL9,gadm1
PHL10,gadm1
PHL11,gadm1
PHL12,gadm1
PHL13,gadm1
PHL14,gadm1
PHL15,gadm1
PHL16,gadm1
PHL17,gadm1
PHL18,gadm1
PHL19,gadm1
PHL20,gadm1
PHL21,gadm1
PHL22,gadm1
PHL23,gadm1
PHL24,gadm1
PHL25,gadm1
PHL26,gadm1
PHL27,gadm1
PHL28,gadm1
PHL29,gadm1
PHL30,gadm1
PHL31,gadm1
PHL32,gadm1
PHL33,gadm1
PHL34,gadm1
PHL35,gadm1
PHL36,gadm1
PHL37,gadm1
PHL38,gadm1
PHL39,gadm1
PHL40,gadm1
PHL41,gadm1
PHL42,gadm1
PHL43,gadm1
PHL44,gadm1
PHL45,gadm1
PHL46,gadm1
PHL47,gadm1
PHL48,gadm1
PHL49,gadm1
PHL50,gadm1
PHL51,gadm1
PHL52,gadm1
PHL53,gadm1
PHL54,gadm1
PHL55,gadm1
PHL56,gadm1
PHL57,gadm1
PHL58,gadm1
PHL59,gadm1
PHL60,gadm1
PHL61,gadm1
PHL62,gadm1
PHL63,gadm1
PHL64,gadm1
PHL65,gadm1
PHL66,gadm1
PHL67,gadm1
PHL68,gadm1
PHL69,gadm1
PHL70,gadm1
PHL71,gadm1
PHL72,gadm1
PHL73,gadm1
PHL74,gadm1
PHL75,gadm1
PHL76,gadm1
PHL77,gadm1
PHL78,gadm1
PHL79,gadm1
PHL80,gadm1
PHL81,gadm1
QAT1,gadm1
QAT2,gadm1
QAT3,gadm1
QAT4,gadm1
QAT5,gadm1
QAT6,gadm1
QAT7,gadm1
COG1,gadm1
COG2,gadm1
COG3,gadm1
COG4,gadm1
COG5,gadm1
COG6,gadm1
COG7,gadm1
